administrative,administrative_duration,informational,informational_duration,product_related,product_related_duration,bounce_rates,exit_rates,page_values,month,browser,region,traffic_type,visitor_type,weekend,revenue
1,0.0,0,0.0,16,132.0,0.0754,0.127,0.0,Nov,Google Chrome,North America,Instagram ads,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,2,0.0,0.2,0.2,0.0,Nov,Google Chrome,Asia,Facebook ads,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,10,234.0,0.0,0.015,0.0,Dec,Google Chrome,North America,Google search,New_Visitor,-9223372036854775808,0
5,68.3,1,19.4,8,200.0,0.0,0.005,0.0,Oct,Google Chrome,North America,Tik Tok ads,Returning_Visitor,-9223372036854775808,0
5,60.5,0,0.0,40,1907.0,0.0088,0.024,0.0,May,Google Chrome,Western Europe,Bing search,New_Visitor,-9223372036854775808,0
11,262.7357647,2,10.0,25,805.0,0.0,0.01,11.8,Aug,Google Chrome,Western Europe,Bing search,New_Visitor,-9223372036854775808,0
0,6.0,0,0.0,5,106.0,0.0333,0.047,0.0,Nov,Google Chrome,Eastern Europe,Google search,New_Visitor,-9223372036854775808,0
9,177.0,1,53.0,70,2555.0,0.0097,0.026,0.0,Nov,Google Chrome,Western Europe,Google search,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,10,113.0,0.01,0.031,0.0,Nov,Google Chrome,Southern Africa,Google search,Returning_Visitor,-9223372036854775808,1
2,19.0,0,0.0,11,2007.0,0.0,0.03,6.3,Mar,Opera,North America,Youtube channel,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,5,114.0,0.0,0.021,0.0,Dec,Mozilla Firefox,North America,Twitter,Returning_Visitor,-9223372036854775808,0
6,80.0,0,0.0,16,429.0,0.0,0.014,22.5,Mar,Google Chrome,South America,Google search,New_Visitor,-9223372036854775808,1
1,5.0,3,115.3333333,38,1206.0,0.0126,0.044,0.0,Dec,Google Chrome,South America,Facebook ads,Returning_Visitor,-9223372036854775808,0
7,160.5,0,0.0,31,403.0,0.0,0.009,0.0,May,Google Chrome,North America,Bing search,Returning_Visitor,-9223372036854775808,0
6,79.75,0,0.0,3,11.0,0.0,0.06,0.0,Dec,Safari,Western Europe,Youtube channel,New_Visitor,-9223372036854775808,0
3,55.0,0,0.0,48,3091.0,0.0046,0.021,0.0,May,Google Chrome,North America,Youtube ads,Returning_Visitor,-9223372036854775808,0
7,1675.75,0,0.0,113,2240.0,0.0016,0.006,30.9,May,Microsoft Edge,North America,Google search,Returning_Visitor,-9223372036854775808,1
2,58.0,1,7.0,57,2283.0,0.0,0.005,0.0,Mar,Google Chrome,Western Europe,Google search,Returning_Visitor,-9223372036854775808,0
3,16.0,2,94.75,18,1588.0,0.0,0.013,21.8,Nov,Google Chrome,Asia,Instagram ads,Returning_Visitor,-9223372036854775808,1
0,0.0,0,0.0,44,1099.0,0.0,0.024,0.0,Nov,Google Chrome,North America,Google search,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,3,45.0,0.04,0.05,0.0,May,Safari,North America,Facebook ads,Returning_Visitor,-9223372036854775808,0
2,14.0,0,0.0,53,665.0,0.0388,0.074,0.0,Nov,Google Chrome,North America,Instagram ads,Returning_Visitor,-9223372036854775808,0
7,115.5,0,0.0,33,926.0,0.014,0.025,0.0,May,Google Chrome,North America,Facebook ads,Returning_Visitor,-9223372036854775808,0
5,235.0666667,1,45.4,12,369.0,0.0103,0.01,0.0,Oct,Safari,Oceania,Google search,New_Visitor,-9223372036854775808,0
0,0.0,0,0.0,40,1140.0,0.02,0.057,0.0,Nov,Google Chrome,North America,Youtube ads,Returning_Visitor,-9223372036854775808,0
0,0.0,2,20.0,6,76.0,0.0,0.0,0.0,May,Mozilla Firefox,North America,Instagram Page,Returning_Visitor,-9223372036854775808,0
3,90.0,0,0.0,25,763.0,0.0,0.013,149.6,Dec,Safari,North America,Google search,New_Visitor,-9223372036854775808,1
3,66.96666667,1,395.3333333,33,708.0,0.0057,0.019,0.0,May,Safari,Africa,Google search,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,2,42.0,0.0,0.1,0.0,May,Google Chrome,North America,Instagram ads,Returning_Visitor,-9223372036854775808,0
3,18.8,0,0.0,18,147.0,0.0123,0.033,0.0,Nov,Google Chrome,North America,Instagram ads,Returning_Visitor,-9223372036854775808,1
4,164.2,1,16.5,8,312.0,0.0,0.028,0.0,Oct,Safari,North America,Google search,Returning_Visitor,-9223372036854775808,0
2,6.0,0,0.0,15,821.0,0.0,0.004,0.0,Sep,Google Chrome,South America,Google search,New_Visitor,-9223372036854775808,0
3,56.5,2,59.5,110,2828.0,0.0145,0.045,20.0,Dec,Google Chrome,Asia,Google search,Returning_Visitor,-9223372036854775808,0
3,65.5,0,0.0,13,148.0,0.0061,0.024,0.0,Nov,Google Chrome,Eastern Europe,Instagram ads,Returning_Visitor,-9223372036854775808,0
4,80.0,0,0.0,37,2789.0,0.0,0.025,0.0,May,Safari,South America,Instagram ads,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,22,717.0,0.0064,0.026,0.0,Nov,QQ,North America,Google search,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,14,98.0,0.0,0.017,0.0,May,Mozilla Firefox,Eastern Europe,Instagram ads,Returning_Visitor,-9223372036854775808,0
16,787.0756,6,396.621,36,2858.0,0.0137,0.021,1.3,Nov,Safari,Western Europe,Google search,New_Visitor,-9223372036854775808,1
5,28.25,0,0.0,155,4936.0,0.0,0.007,4.2,Nov,Mozilla Firefox,North America,Google search,Returning_Visitor,-9223372036854775808,1
0,0.0,0,0.0,13,101.0,0.0,0.018,0.0,Nov,Google Chrome,Western Europe,Youtube channel,New_Visitor,-9223372036854775808,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,Aug,Google Chrome,Asia,Instagram ads,Returning_Visitor,-9223372036854775808,0
1,49.0,0,0.0,5,846.0,0.0,0.027,0.0,Nov,Safari,Western Europe,Google search,Returning_Visitor,-9223372036854775808,0
2,68.0,0,0.0,8,94.0,0.0,0.011,0.0,Dec,Google Chrome,Africa,Google search,New_Visitor,-9223372036854775808,0
1,199.0,0,0.0,18,1297.0,0.0,0.01,16.1,May,Google Chrome,Asia,Bing search,Returning_Visitor,-9223372036854775808,0
6,80.0,0,0.0,6,119.0,0.0,0.023,0.0,Mar,Microsoft Edge,Eastern Europe,Facebook ads,Returning_Visitor,-9223372036854775808,0
5,31.0,0,0.0,42,1326.0,0.0057,0.023,0.0,Mar,Google Chrome,Asia,Facebook ads,Returning_Visitor,-9223372036854775808,0
1,166.5,0,0.0,18,669.0,0.0088,0.019,0.0,May,Google Chrome,South America,Facebook ads,Returning_Visitor,-9223372036854775808,0
7,441.0,0,0.0,28,470.0,0.0,0.008,0.0,Mar,Google Chrome,Africa,Youtube channel,New_Visitor,-9223372036854775808,0
1,80.0,1,25.0,10,1157.0,0.0143,0.019,0.0,May,Safari,South America,Twitter,Returning_Visitor,-9223372036854775808,0
0,0.0,1,0.0,15,412.0,0.0,0.019,35.1,May,Safari,Eastern Europe,Bing search,Returning_Visitor,-9223372036854775808,1
9,342.0666667,0,0.0,16,199.0,0.0063,0.014,0.0,Mar,Safari,Africa,Instagram ads,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,10,228.0,0.0,0.016,38.8,Dec,Google Chrome,Northern Africa,Facebook ads,Returning_Visitor,-9223372036854775808,1
0,0.0,2,76.5,6,25.0,0.0667,0.071,0.0,May,Google Chrome,North America,Instagram ads,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,9,165.0,0.0662,0.056,0.0,May,Google Chrome,North America,Twitter,Returning_Visitor,-9223372036854775808,0
5,171.25,1,0.0,362,12259.0,0.0044,0.025,1.2,Nov,Google Chrome,North America,Google search,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,6,142.0,0.0,0.017,59.0,Mar,Google Chrome,Western Europe,Facebook ads,Returning_Visitor,-9223372036854775808,1
0,0.0,0,0.0,12,223.0,0.0,0.02,0.0,May,Google Chrome,North America,Youtube ads,Returning_Visitor,-9223372036854775808,0
4,145.0,0,0.0,7,243.0,0.013,0.033,0.0,May,Safari,North America,Newsletter,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,6,0.0,0.2,0.2,0.0,Oct,Google Chrome,North America,Instagram ads,Returning_Visitor,-9223372036854775808,0
8,6.0,2,62.0,36,4921.0,0.0168,0.031,6.9,May,Google Chrome,Oceania,Facebook ads,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,13,377.0,0.0181,0.031,0.0,May,Google Chrome,North America,Instagram ads,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,5,125.0,0.0333,0.05,0.0,May,Safari,North America,Google search,Returning_Visitor,-9223372036854775808,0
0,6.0,0,0.0,5,210.0,0.0667,0.071,0.0,Nov,Safari,North America,Facebook ads,Returning_Visitor,-9223372036854775808,0
2,55.0,3,347.0,21,660.0,0.0278,0.049,0.0,May,Google Chrome,North America,Instagram ads,Returning_Visitor,-9223372036854775808,0
1,133.0833333,1,229.5,50,1713.0,0.0,0.007,8.6,May,Google Chrome,Western Europe,Bing search,Returning_Visitor,-9223372036854775808,0
3,122.0,0,0.0,18,1187.0,0.0011,0.004,36.5,Mar,Internet Explorer,Africa,Google search,Returning_Visitor,-9223372036854775808,1
0,0.0,0,0.0,11,217.0,0.0254,0.062,0.0,Dec,Safari,Eastern Europe,Tik Tok ads,Returning_Visitor,-9223372036854775808,0
8,72.0,0,0.0,44,2791.0,0.0054,0.015,0.0,May,Safari,North America,Google search,Returning_Visitor,-9223372036854775808,0
3,24.2,0,0.0,3,0.0,0.0,0.067,0.0,May,Google Chrome,North America,Bing search,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,18,258.0,0.0045,0.057,54.0,May,Google Chrome,Northern Africa,Google search,Returning_Visitor,-9223372036854775808,1
0,0.0,0,0.0,8,222.0,0.0,0.015,0.0,June,Safari,Northern Africa,Google search,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,12,343.0,0.0087,0.018,0.0,Nov,Google Chrome,Western Europe,Youtube ads,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,24,2172.0,0.0035,0.015,0.0,Nov,Google Chrome,North America,Direct Traffic,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,37,341.0,0.0,0.009,73.4,Nov,Google Chrome,Western Europe,Tik Tok ads,Returning_Visitor,-9223372036854775808,1
8,81.2333333,2,141.2666667,34,1139.0,0.0,0.011,0.0,Nov,Mozilla Firefox,North America,Google search,New_Visitor,-9223372036854775808,0
0,0.0,0,0.0,5,1277.0,0.0,0.027,0.0,Nov,Google Chrome,North America,Youtube ads,Returning_Visitor,-9223372036854775808,1
7,284.0,2,15.0,47,1788.0,0.02,0.02,0.0,Nov,Safari,Oceania,Google search,Returning_Visitor,-9223372036854775808,0
14,167.9133333,4,234.2,62,9813.0,0.004,0.009,45.9,Oct,Google Chrome,North America,Google search,Returning_Visitor,-9223372036854775808,0
5,221.75,0,0.0,19,1326.0,0.0051,0.041,17.5,Nov,Safari,North America,Google search,Returning_Visitor,-9223372036854775808,1
0,0.0,0,0.0,23,1102.0,0.0032,0.027,0.0,Nov,Google Chrome,North America,Google search,Returning_Visitor,-9223372036854775808,1
0,0.0,0,0.0,3,50.0,0.0,0.025,0.0,Dec,Google Chrome,Western Europe,Facebook ads,Returning_Visitor,-9223372036854775808,0
10,178.7082343,1,155.0,259,8290.0,0.0032,0.004,3.0,Nov,Google Chrome,Western Europe,Google search,Returning_Visitor,-9223372036854775808,1
0,0.0,0,0.0,20,919.0,0.0,0.003,65.0,Nov,Google Chrome,South America,Youtube channel,New_Visitor,-9223372036854775808,1
1,106.0,0,0.0,27,2271.0,0.0115,0.035,0.0,May,Google Chrome,Oceania,Bing search,Returning_Visitor,-9223372036854775808,0
1,454.3,0,0.0,38,1380.0,0.0058,0.023,16.5,Oct,Google Chrome,Western Europe,Bing search,Returning_Visitor,-9223372036854775808,1
0,0.0,0,0.0,27,833.0,0.0,0.014,0.0,Dec,Google Chrome,Western Europe,Facebook ads,Returning_Visitor,-9223372036854775808,0
0,6.0,0,0.0,7,463.0,0.0,0.02,0.0,May,Microsoft Edge,Western Europe,Facebook ads,New_Visitor,-9223372036854775808,0
0,0.0,0,0.0,3,0.0,0.2,0.2,0.0,May,Google Chrome,Eastern Europe,Instagram Page,Returning_Visitor,-9223372036854775808,0
1,5.5,0,0.0,11,496.0,0.0,0.025,71.4,Nov,Google Chrome,North America,Youtube channel,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,6,29.0,0.0534,0.067,0.0,Mar,Google Chrome,Southern Africa,Facebook ads,Returning_Visitor,-9223372036854775808,0
0,0.0,2,27.0,69,1688.0,0.0,0.015,0.0,Nov,Google Chrome,Western Europe,Google search,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,18,442.0,0.0226,0.044,0.0,May,Safari,Western Europe,Bing search,Returning_Visitor,-9223372036854775808,0
0,0.0,2,31.5,33,1395.0,0.0,0.024,11.9,Mar,Google Chrome,Western Europe,Facebook ads,Returning_Visitor,-9223372036854775808,1
0,0.0,2,12.0,21,1092.0,0.0094,0.036,5.1,May,Google Chrome,Asia,Google search,Returning_Visitor,-9223372036854775808,0
9,313.1666667,4,221.0,62,2295.0,0.0,0.006,17.0,May,Google Chrome,North America,Instagram Page,New_Visitor,-9223372036854775808,0
0,0.0,0,0.0,18,60.0,0.0,0.0,0.0,Mar,Mozilla Firefox,Africa,Google search,Returning_Visitor,-9223372036854775808,0
3,61.0,1,33.6,70,586.0,0.019,0.024,0.0,Jul,Google Chrome,Western Europe,Facebook ads,Returning_Visitor,-9223372036854775808,0
7,89.83333333,4,58.0,32,2333.0,0.0053,0.019,17.5,Mar,Safari,North America,Instagram ads,Returning_Visitor,-9223372036854775808,1
1,28.9,0,0.0,129,5489.0,0.0,0.001,0.0,Nov,Mozilla Firefox,North America,Google search,New_Visitor,-9223372036854775808,1
0,0.0,1,2.0,20,462.0,0.0017,0.026,0.0,Nov,Safari,North America,Instagram ads,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,9,298.0,0.0154,0.035,0.0,May,Google Chrome,Asia,Direct Traffic,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,44,828.0,0.0,0.002,36.5,May,Google Chrome,Western Europe,Google search,New_Visitor,-9223372036854775808,1
6,51.0,2,166.6666667,50,725.0,0.0101,0.031,0.0,Dec,Google Chrome,North America,Google search,New_Visitor,-9223372036854775808,0
4,82.5,4,220.0,54,4444.0,0.0018,0.029,14.9,Mar,Google Chrome,North America,Google search,Returning_Visitor,-9223372036854775808,0
10,118.0,3,96.5,167,5162.0,0.0041,0.02,0.0,Nov,Google Chrome,North America,Google search,Returning_Visitor,-9223372036854775808,0
3,62.6,0,0.0,11,439.0,0.0,0.013,0.0,Nov,Google Chrome,North America,Twitter,Returning_Visitor,-9223372036854775808,0
10,185.6666667,0,0.0,123,3730.0,0.0046,0.012,1.2,Nov,Google Chrome,Africa,Other,Returning_Visitor,-9223372036854775808,1
1,11.0,0,0.0,10,332.0,0.0,0.02,0.0,Nov,Google Chrome,Asia,Google search,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,4,168.0,0.0,0.067,0.0,May,Mozilla Firefox,Western Europe,Google search,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,40,881.0,0.0,0.017,0.0,Dec,Google Chrome,North America,Google search,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,24,558.0,0.0,0.021,0.0,May,Google Chrome,Eastern Europe,Bing search,Returning_Visitor,-9223372036854775808,0
7,6.0,0,0.0,38,929.0,0.0,0.01,0.0,Aug,Safari,North America,Bing search,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,18,1522.0,0.021,0.048,0.0,Mar,Google Chrome,Eastern Europe,Facebook ads,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,18,1457.0,0.0,0.009,51.1,Dec,Mozilla Firefox,North America,Youtube channel,New_Visitor,-9223372036854775808,1
0,100.02,3,31.5,7,197.0,0.0,0.02,0.0,Nov,Google Chrome,North America,Twitter,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,38,606.0,0.015,0.028,0.0,May,Google Chrome,Oceania,Google search,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,19,417.0,0.0094,0.04,0.0,May,Google Chrome,North America,Bing search,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,12,243.0,0.04,0.05,0.0,May,Microsoft Edge,North America,Instagram ads,Returning_Visitor,-9223372036854775808,0
0,6.0,0,0.0,18,1613.0,0.0053,0.022,14.7,Mar,Google Chrome,Eastern Europe,Google search,Returning_Visitor,-9223372036854775808,1
2,77.42185854,5,108.58,154,3332.0,0.0222,0.029,9.1,Nov,Safari,Africa,Facebook ads,Returning_Visitor,-9223372036854775808,1
4,145.5,0,0.0,13,248.0,0.0,0.015,0.0,Mar,Google Chrome,North America,Facebook ads,Returning_Visitor,-9223372036854775808,0
0,0.0,6,64.5,15,371.0,0.0,0.037,0.0,Mar,Google Chrome,North America,Youtube channel,New_Visitor,-9223372036854775808,0
0,0.0,0,0.0,38,1920.0,0.0097,0.011,0.0,Nov,Safari,North America,Youtube channel,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,Mar,Google Chrome,North America,Affiliate marketing,Returning_Visitor,-9223372036854775808,0
4,6.0,0,0.0,111,4426.0,0.0022,0.022,0.0,Nov,Google Chrome,North America,Instagram ads,Returning_Visitor,-9223372036854775808,0
2,18.0,0,0.0,21,1372.0,0.0,0.028,0.0,May,Google Chrome,Eastern Europe,Google search,Returning_Visitor,-9223372036854775808,0
1,15.33333333,1,199.7,6,426.0,0.0,0.025,0.0,Nov,Google Chrome,Western Europe,Google search,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,19,770.0,0.0053,0.033,0.0,May,Google Chrome,Southern Africa,Bing search,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,24,671.0,0.0,0.012,0.0,Jul,Google Chrome,Northern Africa,Google search,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,21,524.0,0.0333,0.047,0.0,May,Microsoft Edge,North America,Twitter,Returning_Visitor,-9223372036854775808,0
0,6.0,0,0.0,19,454.0,0.0,0.012,0.0,Nov,Google Chrome,South America,Google search,Returning_Visitor,-9223372036854775808,0
6,194.3214296,2,48.0,43,1953.0,0.005,0.014,7.9,Mar,Safari,Africa,Google search,Returning_Visitor,-9223372036854775808,1
5,54.5,0,0.0,8,164.0,0.0,0.02,0.0,Feb,Google Chrome,North America,Instagram Page,New_Visitor,-9223372036854775808,0
0,0.0,0,0.0,3,50.0,0.0,0.05,0.0,Dec,Google Chrome,Oceania,Facebook ads,Returning_Visitor,-9223372036854775808,0
3,56.5,2,14.25,21,2618.0,0.0128,0.025,0.0,Nov,Google Chrome,Western Europe,Google search,Returning_Visitor,-9223372036854775808,1
4,45.5,1,10.0,17,214.0,0.0,0.017,0.0,May,Google Chrome,Western Europe,Bing search,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,2,35.0,0.0,0.1,0.0,May,Safari,Asia,Bing search,Returning_Visitor,-9223372036854775808,0
